city,state,date,type,description,source,severity
San Bernardino,CA,Unknown,POLICE_VIOLENCE,"Federal immigration agents shoot San Bernardino man's car, authorities say - CBS Los Angeles(opens in a new tab)",https://www.cbsnews.com/losangeles/news/san-bernardino-family-car-shot-ice-federal-agents/,7
Washington,DC,Unknown,POLICE_VIOLENCE,"Federal officers detain, tackle moped driver amid Trump D.C. police crackdown - The Washington Post(opens in a new tab)",https://www.washingtonpost.com/dc-md-va/2025/08/17/dc-arrests-violent-takedown-immigration/,7
Los Angeles,CA,Unknown,POLICE_VIOLENCE,TikToker arrested by federal agents while live streaming to thousands in downtown LA - ABC7,https://abc7.com/post/tatiana-martinez-arrest-video-shows-tiktok-influencer-being-detained-federal-agents-downtown-los-angeles/17717229/,7
Charleston,SC,Unknown,POLICE_VIOLENCE,"ICE Agent Pulls Gun on Woman During Raid, Ring Camera Shows - Newsweek(opens in a new tab)",https://www.newsweek.com/ice-agent-pulls-gun-ring-camera-raid-immigration-2109247,8
Kenton County,KY,Unknown,ICE_OPERATION,He has a green card and a brain tumor. DHS wants to deport him for forgery with no proof. - The Intercept(opens in a new tab),https://theintercept.com/2025/09/26/ice-detention-green-card-chicago-kentucky/,5
San Francisco,CA,Unknown,ICE_OPERATION,Pablo Sequen v. Kaiser(opens in a new tab),https://www.courtlistener.com/docket/70990996/pablo-sequen-v-kaiser/,7
New York City,NY,Unknown,ICE_OPERATION,Legal Orgs Sue Trump Admin Over Unlawful Policy of Arresting People Who Attend Mandated Court Hearings | American Civil Liberties Union(opens in a new,https://www.aclu.org/press-releases/legal-orgs-sue-trump-admin-over-unlawful-policy-of-arresting-people-who-attend-mandated-court-hearings,8
Los Angeles,CA,Unknown,ICE_OPERATION,Studio City balloon shop owner distraught after wife detained by ICE - ABC7(opens in a new tab),https://abc7.com/post/studio-city-balloon-shop-owner-distraught-wife-detained-ice/17731899/,5
Phoenix,AZ,Unknown,ICE_OPERATION,Two People Detained by Southwest Elementary School Raises Concerns · Cactus Politics(opens in a new tab),https://cactuspolitics.com/2025/08/two-people-detained-by-southwest-elementary-school-raises-concerns/,7
Chula Vista,CA,Unknown,ICE_OPERATION,What we know about ICE arrest of a parent outside Chula Vista elementary school - KPBS(opens in a new tab),https://www.kpbs.org/news/border-immigration/2025/08/08/what-we-know-about-ice-arrest-of-a-parent-outside-a-chula-vista-elementary-school,7
Los Angeles,CA,Unknown,POLICE_VIOLENCE,Pregnant US Citizen speaks out after being detained by ICE agents searching for her husband - NBC4 News(opens in a new tab),https://www.nbclosangeles.com/news/local/pregnant-us-citizen-speaks-out-ice-immigration/3761282/,8
Sioux City,IA,Unknown,ICE_OPERATION,"Federal judge in northwest Iowa orders the release of Armando Garcia Picazo | WVIK, Quad Cities NPR(opens in a new tab)",https://www.wvik.org/news-from-iowa/2025-10-30/federal-judge-woodbury-county-sheriff-ice-denied-bond-release,5
Los Angeles,CA,Unknown,POLICE_VIOLENCE,Los Angeles nurse released from ICE custody without charges | KTLA(opens in a new tab),https://ktla.com/news/local-news/nurse-released-from-ice-custody-without-charges/,8
San Francisco,CA,Unknown,POLICE_VIOLENCE,Video: ICE officers tackle and detain San Francisco protesters - Mission Local(opens in a new tab),https://missionlocal.org/2025/08/ice-tackles-detains-protesters/,7
New York City,NY,Unknown,ICE_OPERATION,"ICE Held Child Incommunicado at Secret Hotel, Deported Him - The Intercept(opens in a new tab)",https://theintercept.com/2025/08/18/ice-children-hotel-detention-nyc-deported/,6
Arleta,CA,Unknown,CONSTITUTIONAL_VIOLATION,"ICE detention of student was 'unconstitutional racial profiling', family alleges in claim - Los Angeles Times(opens in a new tab)",https://www.latimes.com/california/story/2025-08-26/family-of-student-arrested-outside-arlete-high-allege-racial-profiling-trump-administration,9
Boston,MA,Unknown,ICE_OPERATION,Mass. mom detained by ICE for 10 days over decades-old minor marijuana charge - masslive.com(opens in a new tab),https://www.masslive.com/news/2025/08/mass-mom-detained-by-ice-for-10-days-over-decades-old-minor-marijuana-charge.html,6
Horizon City,TX,Unknown,POLICE_VIOLENCE,Then They Came for the Dreamers | Mother Jones(opens in a new tab),https://www.motherjones.com/politics/2025/11/dreamers-daca-trump-deportation-detention-betrayal-big-feature/,7
Portland,OR,Unknown,POLICE_VIOLENCE,Portland man sues DHS after video shows federal agent tackling him from behind at protest - FOX 12(opens in a new tab),https://www.kptv.com/2025/08/28/portland-man-sues-dhs-after-video-shows-federal-agent-tackling-him-behind-protest/,8
San Diego,CA,Unknown,ICE_OPERATION,San Diego Unified responds to ICE arrest outside Linda Vista Elementary - KBPS(opens in a new tab),https://www.kpbs.org/news/border-immigration/2025/08/15/san-diego-unified-responds-to-ice-arrest-outside-linda-vista-elementary,7
Horizon City,TX,Unknown,ICE_OPERATION,DACA recipient held in NM ICE detention released after federal judge's order - Source NM(opens in a new tab),https://sourcenm.com/2025/09/26/daca-recipient-held-in-nm-ice-detention-released-after-federal-judges-order/,5
Oakland,CA,Unknown,ICE_OPERATION,"ICE agents detain 6 at East Oakland home, including a minor – NBC Bay Area(opens in a new tab)",https://www.nbcbayarea.com/news/local/ice-raid-east-oakland-home/3933356/,6
Woodridge,IL,Unknown,POLICE_VIOLENCE,New Federal Court Filing Challenges Trump Administration's Most Recent Violent and Illegal Arrest Tactics in Chicago Area - National Immigrant Justice,https://immigrantjustice.org/press-release/new-federal-court-filing-challenges-trump-administrations-most-recent-violent-and-illegal-arrest-tactics-in-chicago-area/,8
San Francisco,CA,Unknown,ICE_OPERATION,ICE makes unusual arrest of indigenous woman in S.F. immigration court - Mission Local(opens in a new tab),https://missionlocal.org/2025/08/sf-ice-indigenous-arrest-immigration-court/,7
